Temp pH Cond Ca Mg Na K AlkAcid SO4_IC Cl NO2NO3N Tot.N_ps TotP AbsF420nm TOC Si
4.1 6.77 5.87 0.244 0.164 0.141 0.025 0.167 0.181 0.101 65 511 15 0.134 11.4 2.93
2.2 7.37 10.7 0.523 0.3 0.212 0.05 0.708 0.101 0.183 89 1248 73 0.109 14.5 1.45
5.2 6.13 2.92 0.131 0.068 0.076 0.011 0.041 0.082 0.057 99 756 10 0.23 11.2 1.81
2.9 5.08 2.24 0.083 0.039 0.063 0.005 -0.023 0.036 0.05 39 367 25 0.571 18.1 4.03
2.1 6.97 9.98 0.469 0.249 0.239 0.044 0.462 0.217 0.228 50 468 21 0.097 10.2 1.4
6.2 6.46 4.04 0.167 0.095 0.131 0.013 0.147 0.071 0.083 17 664 10 0.224 10.6 2.41
6.2 7.29 7.72 0.374 0.128 0.177 0.081 0.393 0.097 0.179 25 733 22 0.055 7 0.27
5.1 6.98 5.46 0.257 0.116 0.152 0.015 0.204 0.118 0.114 83 373 11 0.184 10 1.62
7.8 7.34 8.93 0.547 0.111 0.199 0.027 0.366 0.214 0.184 109 451 8 0.074 9 0.97
7.7 7.37 8.57 0.499 0.114 0.202 0.027 0.35 0.195 0.185 27 373 10 0.05 8.1 1.25
6.2 7.07 10.9 0.48 0.163 0.39 0.036 0.447 0.214 0.265 195 625 27 0.125 9.2 1.52
5.8 5.23 3.52 0.183 0.062 0.103 0.011 -0.027 0.032 0.08 22 754 27 1.47 42.9 2.4
4.9 7.11 15 0.822 0.201 0.492 0.06 0.627 0.172 0.416 167 803 33 0.434 23.3 4.51
7 7.15 8.16 0.425 0.13 0.221 0.019 0.316 0.183 0.202 31 334 8 0.057 8 0.63
6.4 6.72 6.91 0.348 0.132 0.171 0.023 0.247 0.169 0.141 32 431 12 0.158 12.2 1.11
6.2 7.32 16.5 1.218 0.244 0.251 0.064 1.027 0.315 0.196 34 921 48 0.235 21.3 2.35
6.2 6.67 5.4 0.228 0.098 0.169 0.013 0.161 0.147 0.145 5 671 11 0.069 7.1 0.6
5.6 6.58 6.06 0.398 0.102 0.128 0.013 0.305 0.078 0.088 11 536 11 0.269 17.6 2.08
5.8 7.26 7.54 0.51 0.106 0.149 0.015 0.403 0.126 0.125 45 605 17 0.17 12.8 3.44
5.5 6.76 5.1 0.296 0.099 0.109 0.017 0.209 0.106 0.067 9 479 10 0.217 13.1 1.29
4.4 6.55 8.62 0.605 0.114 0.158 0.022 0.505 0.112 0.151 24 548 24 0.221 12.9 3.72
7.5 7.43 8.88 0.41 0.242 0.191 0.056 0.466 0.189 0.139 6 370 30 0.053 8.9 0.1
4.7 7.36 18.3 1.623 0.135 0.193 0.035 1.404 0.211 0.206 94 803 17 0.177 14.2 2.64
6 7.13 10.5 0.378 0.241 0.367 0.049 0.302 0.243 0.326 81 542 50 0.162 13.6 0.45
6.4 7.09 8.57 0.5 0.136 0.19 0.035 0.366 0.163 0.182 30 513 9 0.102 12 0.48
5.6 6.83 9.15 0.679 0.172 0.159 0.033 0.32 0.238 0.111 96 1171 24 0.714 34.7 1.8
5 7.28 9.4 0.76 0.091 0.129 0.015 0.659 0.08 0.131 33 770 17 0.165 12.3 2.84
6.8 7.24 8.27 0.531 0.146 0.142 0.035 0.419 0.164 0.107 16 409 12 0.123 13.2 0.7
4.2 7.57 11.8 0.902 0.139 0.196 0.031 0.771 0.126 0.178 83 851 25 0.134 17.7 1.74
5.7 6.85 4.42 0.256 0.059 0.11 0.015 0.235 0.044 0.097 9 710 19 0.058 7.6 0.33
6.6 7.58 13.8 0.903 0.155 0.289 0.039 0.683 0.324 0.287 12 605 18 0.043 8.4 1.47
7.1 7.44 12.4 0.894 0.176 0.171 0.038 0.75 0.294 0.159 15 345 22 0.071 8.1 0.62
4.6 7.34 12.2 0.742 0.185 0.26 0.048 0.695 0.167 0.264 166 812 61 0.084 10.5 1.26
7.2 7.05 6.52 0.395 0.093 0.13 0.017 0.291 0.173 0.102 53 479 9 0.033 6.5 0.59
6.4 7.41 16.6 1.318 0.19 0.21 0.053 1.114 0.32 0.183 112 461 30 0.089 13.1 1.08
5.1 7.47 10.4 0.715 0.151 0.175 0.037 0.646 0.168 0.144 62 746 39 0.101 11.7 0.37
7.1 7.23 8.63 0.428 0.226 0.18 0.05 0.455 0.17 0.129 76 471 27 0.067 9.3 0.8
4.8 6.93 5.46 0.351 0.105 0.125 0.013 0.261 0.087 0.08 19 531 14 0.314 16.2 2.03
6.7 7.1 11.5 0.419 0.281 0.371 0.091 0.525 0.178 0.297 94 681 60 0.12 12.3 1.18
4.1 6.92 12.1 0.979 0.121 0.158 0.026 0.83 0.161 0.178 18 1329 18 0.23 14.3 2.66
5.2 7.23 10.1 0.62 0.18 0.197 0.038 0.537 0.17 0.191 21 684 17 0.12 13.1 0.8
1.8 7.18 7.31 0.292 0.192 0.185 0.051 0.372 0.125 0.158 1 488 32 0.076 8.2 0.28
7 7.44 12.7 0.678 0.316 0.245 0.07 0.67 0.318 0.197 82 643 22 0.057 10 0.7
4.6 7.87 22 1.95 0.197 0.239 0.052 1.719 0.308 0.239 153 1153 66 0.108 16.5 1.4
7.3 7.55 12.3 0.747 0.187 0.274 0.04 0.627 0.27 0.281 56 677 20 0.047 8.9 1.58
5.6 8.12 52.3 5.133 0.303 0.298 0.137 3.637 1.955 0.35 19 674 55 0.035 9.7 3.8
6.6 6.81 4.69 0.216 0.089 0.132 0.016 0.177 0.116 0.085 1 306 8 0.037 7.5 0.43
6.9 6.9 6.18 0.288 0.167 0.15 0.026 0.27 0.131 0.087 47 416 15 0.106 11.3 0.95
5.9 6.66 4.98 0.202 0.138 0.133 0.021 0.187 0.109 0.079 6 381 10 0.118 11.6 0.43
2.4 7.84 14.2 0.862 0.38 0.251 0.079 1.101 0.121 0.211 85 650 167 0.085 18.7 2.25
1.8 8.02 30.4 2.235 0.431 0.56 0.092 2.136 0.482 0.683 103 880 44 0.048 13.2 1.33
5.4 7.69 16.9 1.06 0.227 0.382 0.054 0.945 0.349 0.309 209 712 61 0.041 7.1 0.68
3.1 6.98 30.2 1.333 0.304 1.2 0.021 0.386 1.063 1.389 7 481 9 0.053 8.1 0.6
4.8 7.22 9.54 0.597 0.119 0.211 0.026 0.384 0.229 0.215 108 602 12 0.147 11 4.34
4.2 6.51 7.36 0.467 0.103 0.179 0.028 0.268 0.126 0.182 37 599 19 0.421 19.4 4.43
3.4 6.85 6.75 0.339 0.134 0.153 0.046 0.381 0.053 0.167 13 517 30 0.119 9.4 1.14
4.9 6.78 7.32 0.598 0.094 0.117 0.013 0.482 0.059 0.084 15 638 19 0.55 23.3 3.52
5.2 6.86 4.97 0.23 0.106 0.138 0.014 0.21 0.086 0.108 12 944 10 0.087 10.5 0.1
4.6 6.94 7.02 0.65 0.061 0.094 0.015 0.484 0.055 0.069 28 775 13 0.616 25.3 3.13
4.1 7.03 10 0.523 0.17 0.25 0.04 0.38 0.217 0.286 202 531 34 0.228 12.1 1.39
2.5 6.17 12.7 0.833 0.265 0.203 0.092 0.805 0.2 0.163 12 969 94 0.525 27.5 3.23
4.1 6.69 4.2 0.175 0.103 0.131 0.013 0.119 0.083 0.107 30 735 14 0.315 15.9 3.21
2.9 5.67 2.18 0.049 0.047 0.082 0.012 0.006 0.057 0.064 12 415 9 0.109 6.3 0.59
3.3 6.9 4.1 0.263 0.053 0.087 0.01 0.155 0.071 0.079 18 339 11 0.157 11.7 0.86
2.7 7.12 17.1 0.72 0.251 0.58 0.09 0.566 0.324 0.72 176 680 40 0.044 7.2 6.96
3.9 6.99 6.65 0.278 0.094 0.237 0.021 0.177 0.133 0.268 32 369 12 0.083 8.2 1.22
3.3 6.97 5.56 0.333 0.1 0.12 0.013 0.281 0.086 0.088 27 517 8 0.181 11.1 1.95
3 7.06 7.03 0.379 0.121 0.145 0.031 0.227 0.238 0.12 27 708 17 0.092 8.9 1.39
3 4.78 3.25 0.141 0.04 0.085 0.009 -0.073 0.022 0.07 22 632 26 1.213 37.1 2.84
4.4 7.1 7.87 0.295 0.097 0.332 0.021 0.2 0.131 0.36 40 461 11 0.057 7.4 2.6
3.3 6.83 4.48 0.224 0.082 0.103 0.024 0.152 0.083 0.085 46 550 10 0.163 11.3 1.69
3.4 6.74 4.93 0.363 0.095 0.086 0.017 0.249 0.04 0.069 22 519 12 0.589 22.5 2.68
4.2 6.8 8.58 0.546 0.147 0.188 0.018 0.48 0.137 0.12 28 981 26 0.231 17.4 0.46
3.7 6.42 7.69 0.338 0.095 0.327 0.017 0.202 0.059 0.335 38 886 21 0.557 24.7 3.47
4.3 7.13 6.11 0.345 0.1 0.124 0.024 0.235 0.172 0.101 50 479 10 0.049 7 1.34
4.4 6.95 5.52 0.249 0.105 0.148 0.021 0.166 0.146 0.145 27 365 11 0.07 8.1 1.27
2.2 6.81 7.42 0.406 0.124 0.165 0.033 0.269 0.198 0.169 13 533 19 0.138 11 0.7
